Name,mean_return,volatility,cluster
LOW,0.0008384543749000732,0.013498733304260352,1
LRCX,0.0012604353892335348,0.017455460021602254,0
LUK,5.228141793648438e-05,0.014496138535163159,1
LUV,0.0014287015357723057,0.01745682399244563,0
LYB,0.0006115935582446394,0.017578463029635005,0
M,-0.00016721923816823193,0.020486078850871652,0
MA,0.0010087588760024871,0.01262325558776456,1
MAA,0.00028852527959608617,0.011488815852185684,1
MAC,7.735806784287898e-05,0.013888425967508927,1
MAR,0.0010648614630827417,0.013386733825578024,1
MAS,0.0008402471717091468,0.01698815546427708,0
MAT,-0.00048395484427719816,0.02010853603886337,0
MCD,0.0004869055454136197,0.00934536723797767,1
MCHP,0.0007697691279955813,0.015137025108115952,0
MCK,0.00044226372524240295,0.0161794688270343,0
MCO,0.0011205831860207152,0.013596468980535452,1
MDLZ,0.0004536042205556466,0.013175065480676299,1
MDT,0.000499703776937254,0.011414326316402346,1
MET,0.00030853978919592246,0.015997219198117613,0
MGM,0.0009474716832897833,0.019893356463935103,0
MHK,0.0008672531878751232,0.014756913376380873,1
MKC,0.0004352366686386346,0.010480495318068703,1
MLM,0.0008017510144118282,0.018259537975889785,0
MMC,0.0006889129830811257,0.00947450548564352,1
MMM,0.0007001182500580143,0.009768718404053094,1
MNST,0.001311617346748501,0.019550608674518053,0
MO,0.0005738304734204102,0.010261042884461303,1
MON,0.00021039817447681986,0.012005578158867347,1
MOS,-0.0004981979927386526,0.020299003695989914,0
MPC,0.0006145390715284224,0.02198241620739744,0
MRK,0.00033546117490740015,0.013686487823707313,1
MRO,-0.0001586931276807823,0.02973890653820656,2
MS,0.0008099519559247059,0.016369690314161717,0
MSFT,0.0010388741225331477,0.014210172899610199,1
MSI,0.0004963643186127674,0.012106131046739231,1
MTB,0.0005317519961638554,0.012392709936405321,1
MTD,0.0009421197467091683,0.013785376044052952,1
MU,0.0017195574438727522,0.027396779891834686,2
MYL,0.0004996165416571764,0.021519834845655266,0
NAVI,2.5146587013309983e-05,0.021155000493697004,0
NBL,-0.000366311671903878,0.02165939916447206,0
NCLH,0.00076113683008441,0.019120354928576014,0
NDAQ,0.0008441362067972978,0.012429406862189508,1
NEE,0.0006258644083963735,0.010350398636964435,1
NEM,0.00016286900935818288,0.025148277830824968,2
NFLX,0.0022170696707516694,0.027352558223100072,2
NFX,0.00033127352524093287,0.02694891684340994,2
NI,0.00022904705921501274,0.02110375920827637,0
NKE,0.0007918517845555347,0.013816499609352363,1
NLSN,0.00020220692369479664,0.013659061388045587,1
NOC,0.0013565562475926624,0.010907505367590989,1
NOV,-0.0003633134773111083,0.01991834210647137,0
NRG,0.00035832286307621483,0.025347618375276406,2
NSC,0.0006967409480165674,0.015480445570702493,0
NTAP,0.0005211844445715499,0.016942158398881874,0
NTRS,0.0006039109703971974,0.013299839873147586,1
NUE,0.00036493812443205286,0.01606875021899227,0
NVDA,0.0025626554348113276,0.022350446244563716,2
NWL,0.0004198418892068622,0.022658844849442677,2
NWS,0.0001519025877877746,0.014881167590072396,1
NWSA,0.0001320951815948278,0.015375368595084073,0
O,0.00020429934563317268,0.014446557868579468,1
OKE,0.00040549842143431465,0.023422633807085144,2
OMC,0.00031257129299319344,0.011408030233458252,1
ORCL,0.00035295879606061955,0.013011506983879647,1
ORLY,0.0008320557960939511,0.01467729779834736,1
OXY,-8.493131966571342e-05,0.014257569763346477,1
PAYX,0.0005796291162150499,0.010149435101486972,1
PBCT,0.0004018281182318852,0.011274981710038842,1
PCAR,0.00039231415510958023,0.014067015217783047,1
PCG,1.2451834246989335e-05,0.012245998322602373,1
PCLN,0.000918752705371242,0.01624437129726951,0
PDCO,1.3842610491042454e-05,0.013383673353560624,1
PEG,0.0003980253431062128,0.011510654740945661,1
PEP,0.00039068576777155243,0.008418114949353947,1
PFE,0.0002675839622120582,0.010805053645854691,1
PFG,0.0006845511306735504,0.014549757952326915,1
PG,0.00010152593547242178,0.008942197802498225,1
PGR,0.0007063240798600766,0.01015818703772727,1
PH,0.0006208666338766899,0.01360773430664622,1
PHM,0.000510644541943088,0.01838523933401086,0
PKG,0.0009780034957830052,0.015899917603784668,0
PKI,0.0007044233202372832,0.012968930684939414,1
PLD,0.0004077808179382366,0.012178658593684966,1
PM,0.00012402597720874173,0.010319737322410911,1
PNC,0.0007861882403487298,0.012215813317337076,1
PNR,0.0003492419172079307,0.015073101659251296,1
PNW,0.0003174896102063456,0.010372170312648444,1
PPG,0.0004753239411019339,0.012655388700961613,1
PPL,5.7257314809159234e-05,0.0107721390670025,1
PRGO,2.9899508345383704e-05,0.019946756829848644,0
PRU,0.0006390237948942262,0.015230599628582295,0
PSA,0.00019368343997596484,0.011280592456912144,1
PSX,0.00043831750473824797,0.015433193748491968,0
PVH,0.00031510183490110824,0.017763683291350075,0
PWR,0.0003348330452787442,0.018595414173778975,0
PX,0.00028655941918811513,0.01015483902879003,1
PXD,0.000497610523800433,0.022345299323673462,2
PYPL,0.001258709527904633,0.0175714353556828,0
QCOM,0.00010974056237913453,0.016161679033888397,0
QRVO,0.0005125781338103279,0.027679003831704622,2
RCL,0.0011903464275737634,0.019007383057988454,0
RE,0.0006383212729900546,0.010983898006303084,1
REG,0.00015908318703002994,0.011794507059300548,1
REGN,0.0008165618148673269,0.022884860202997577,2
RF,0.0008291814132613446,0.01648243987386128,0
RHI,0.0004978285078735626,0.016106292532586778,0
RHT,0.0008170705439219144,0.01672058836875054,0
RJF,0.000668526913959532,0.0150499087610682,1
RL,-0.0002235798663316951,0.01842397798921336,0
RMD,0.0007135539495916967,0.015665283020228148,0
ROK,0.000676107512637464,0.01384629470768211,1
ROP,0.0007020759735600935,0.011312992336033025,1
ROST,0.0008469684540724112,0.014266350717477347,1
RRC,-0.0009775604067353773,0.027477103415125183,2
RSG,0.0006195087799108948,0.008797842631492525,1
RTN,0.0011166204672497864,0.011035162648845982,1
SBAC,0.0007848421466585119,0.013413503396852591,1
SBUX,0.0006002332205830914,0.012360934026133868,1
SCG,-9.619875125820623e-05,0.01463073349485615,1
SCHW,0.0010516258186935138,0.017691492165558955,0
SEE,0.0007851748112618381,0.01559896193731643,0
SHW,0.0008035091958415037,0.013118256602203657,1
SIG,7.662376778836796e-05,0.02233195007794464,2
SJM,0.00030590040470199756,0.011906309073964583,1
SLB,5.184708639787881e-06,0.01450089950835524,1
SLG,0.00017746123420351345,0.012435116096161767,1
SNA,0.000668074034944938,0.012349461154185327,1
SNI,0.0004003582807287746,0.014544346762713697,1
SNPS,0.0007900658748394236,0.011184612189816744,1
SO,3.350373776893815e-05,0.009243321331758944,1
SPG,2.8400767356184392e-05,0.011636445002431566,1
SPGI,0.0012414238728046456,0.013042288141784026,1
SRCL,-0.00010747654840488934,0.014997689637094453,1
SRE,0.0003057672292572791,0.010680231419298407,1
STI,0.0007846730014244498,0.01428660951299092,1
STT,0.0005880871124588131,0.014635523445299356,1
STX,0.0005743007567489635,0.02463320377946849,2
STZ,0.0016443900887942546,0.016697834084635658,0
SWK,0.0006637846807105641,0.012248626062220436,1
SWKS,0.0013972267455849582,0.02235595526778953,2
SYF,0.0006975463050561348,0.016975563712374693,0
SYK,0.0007559068945348551,0.010638730421918279,1
SYMC,0.00026675061198862737,0.016358448137248537,0
SYY,0.0005493088852871466,0.01108287235892994,1
T,8.696932335684773e-05,0.0100330819075391,1
TAP,0.0005297234692605257,0.014296392967603393,1
TDG,0.0006855194810351175,0.015217050888333404,0
TEL,0.0007953895548459061,0.01264770394621846,1
TGT,0.00023089952008925466,0.014416914401211798,1
TIF,0.0005276549609396459,0.016411000455686556,0
TJX,0.0004820512072745948,0.012279096696031864,1
TMK,0.0006926973872680842,0.009822386567087458,1
TMO,0.0008918948699060366,0.012507512716191528,1
TPR,0.00016581969355742172,0.017097819229282916,0
TRIP,0.00023609319609239839,0.0263033565480622,2
TROW,0.0003757576793576626,0.012513730132022964,1
TRV,0.0005157144878782263,0.009715336729774943,1
TSCO,0.00033696114740501527,0.016180608313336405,0
TSN,0.0010323777567925292,0.016442040823076976,0
TSS,0.0011297043440352775,0.01361054627600348,1
TWX,0.0005669329101601199,0.013844859471066211,1
TXN,0.0009593693549273685,0.013603209112577732,1
TXT,0.000676587904732482,0.016422221295518825,0
UA,-0.0022232941664427305,0.0285955486230797,2
UAA,0.00035930754751867017,0.024944003559747272,2
UAL,0.0010085973330016618,0.023856219951139256,2
UDR,0.00035089368479950477,0.011419074633515557,1
UHS,0.00069466218414641,0.016516004909808542,0
ULTA,0.0008466860768149006,0.021107120244108712,0
UNH,0.001164752470680445,0.012674906362032464,1
UNM,0.0006893470195830237,0.014015019952528848,1
UNP,0.0006150995705677014,0.013370238264819324,1
UPS,0.00029344331248498174,0.009946687350143701,1
URI,0.001230698544307889,0.023952550574149373,2
USB,0.00044429814381309347,0.010631844637165957,1
UTX,0.000357743254648034,0.010402002350585632,1
V,0.0009633634680178728,0.012749028728137003,1
VAR,0.0004814032733561212,0.013077283207093946,1
VFC,0.0007213085775994429,0.013463215603357493,1
VIAB,-0.00031687164878940125,0.020325188935477235,0
VLO,0.0007001874596857506,0.018408293237847213,0
VMC,0.0008075771976756164,0.01738277071719036,0
VNO,-9.464228851083297e-05,0.0129301004285003,1
VRSK,0.0004998491040476732,0.011522915582342174,1
VRSN,0.0007799815258446693,0.012874586686931535,1
VRTX,0.0014241645822640255,0.03210302397065465,2
VTR,-9.943962363025895e-05,0.01350604801596548,1
VZ,0.00016505698912684696,0.010386282920168787,1
WAT,0.0007045370335736721,0.012920984486483078,1
WBA,0.0005541273758298367,0.015396749549897911,0
WDC,0.0006671288718355553,0.0215587484729293,0
WEC,0.00037507001862696393,0.010541766455598836,1
WFC,0.0004707313256789501,0.012060187737270902,1
WHR,0.00053063110498392,0.017727506726908943,0
WLTW,0.000496175132388379,0.011944563052940753,1
WM,0.0006839937116055533,0.008789126459738065,1
WMB,0.0002951416948154085,0.029559391913397737,2
WMT,0.00034859386839119653,0.010911524558778701,1
WRK,0.00022036157553689942,0.019705343690230755,0
WU,0.0003298255932972016,0.014371818466327126,1
WY,0.00019308117280637246,0.013188635922355488,1
WYN,0.0006410667149012769,0.013918360955606189,1
WYNN,0.0005911545219576765,0.025529530259379856,2
XEC,0.000607882364205288,0.021884891922353576,0
XEL,0.0003846170627588682,0.00989219918345994,1
XL,0.0003910258660554743,0.012306361041523783,1
XLNX,0.0005780968839087184,0.015254022191576512,0
XOM,-5.14529340447801e-05,0.011026205181217498,1
XRAY,0.0003132675536743901,0.011717736221601362,1
XRX,0.0001400647701574282,0.017459101653950742,0
XYL,0.0008683071203293986,0.013689066363011659,1
YUM,0.000309668651791978,0.01650893714849564,0
ZBH,0.0004560155611103574,0.013097974307297621,1
ZION,0.0007745934364195232,0.016357946370263433,0
ZTS,0.0007392659127293049,0.01414217078231647,1
