Name,mean_return,volatility,cluster
MAT,0.002032192962769472,0.06994824457092218,0
MCD,0.0012109779432573303,0.04290166626898128,1
MCHP,0.0014107883844881588,0.05414292483497342,1
MCK,0.002148930698551704,0.05989683512410154,1
MCO,0.003681393761667812,0.11076780264277773,0
MDLZ,0.0009340161465245106,0.03467205892992751,1
MDT,0.0013556668949724117,0.04743594261167307,1
MET,0.0005018688331861084,0.03748278812631535,1
MGM,0.002536491544551863,0.0667221695666949,0
MHK,0.001691392678962836,0.06602107988454771,0
MKC,0.0005961727047882622,0.030871232026652613,1
MLM,0.0017227168415885313,0.06226764670319548,0
MMC,0.0016533160287466651,0.04971651033288732,1
MMM,0.0016051858810356972,0.061900424857699435,1
MNST,0.0037217159505905915,0.10087762907773128,0
MO,0.0017729927539826542,0.05419414726532354,1
MON,0.0003889734311265448,0.02795015771803623,1
MOS,0.002250327068654323,0.06823945089512223,0
MPC,0.001935943678653698,0.06079194960050105,1
MRK,0.0006681209674958608,0.037219901299297,1
MRO,0.0044167009464207395,0.10580539204596112,0
MS,0.0013538494000848412,0.06025308813529947,1
MSFT,0.0009667650144464464,0.045765679689685174,1
MSI,6.571157905559856e-05,0.030539470554644853,1
